Date,Open,Close,High,Low,Volume
2020-09-29 09:25:00,1.16904,1.1691,1.16915,1.16887,130
2020-09-29 09:26:00,1.1691,1.16877,1.16911,1.16875,111
2020-09-29 09:27:00,1.16877,1.16914,1.16915,1.16872,179
2020-09-29 09:28:00,1.16913,1.16935,1.16941,1.16913,188
2020-09-29 09:29:00,1.16934,1.16925,1.16935,1.16923,92
2020-09-29 09:30:00,1.16925,1.16937,1.16937,1.16912,119
2020-09-29 09:31:00,1.16937,1.16911,1.16939,1.16905,124
2020-09-29 09:32:00,1.16911,1.16922,1.16927,1.16902,105
2020-09-29 09:33:00,1.16923,1.16917,1.1693,1.16915,86
2020-09-29 09:34:00,1.16917,1.16932,1.16935,1.16899,116
2020-09-29 09:35:00,1.16931,1.16918,1.16933,1.16906,127
2020-09-29 09:36:00,1.16917,1.16937,1.16941,1.16917,92
2020-09-29 09:37:00,1.16937,1.16953,1.16973,1.16936,176
2020-09-29 09:38:00,1.16955,1.16945,1.16959,1.16931,165
2020-09-29 09:39:00,1.16946,1.16943,1.16955,1.16936,103
2020-09-29 09:40:00,1.16942,1.16947,1.16955,1.16933,96
2020-09-29 09:41:00,1.16947,1.16945,1.16957,1.16936,123
2020-09-29 09:42:00,1.16945,1.16953,1.16955,1.16924,137
2020-09-29 09:43:00,1.16953,1.16961,1.16961,1.16951,73
2020-09-29 09:44:00,1.16961,1.16951,1.16968,1.16942,129
2020-09-29 09:45:00,1.16952,1.16962,1.16965,1.16952,82
2020-09-29 09:46:00,1.16962,1.16956,1.16963,1.16951,87
2020-09-29 09:47:00,1.16956,1.16967,1.1697,1.16953,81
2020-09-29 09:48:00,1.16967,1.16968,1.16971,1.16963,59
2020-09-29 09:49:00,1.16968,1.16955,1.16969,1.16954,81
2020-09-29 09:50:00,1.16954,1.16957,1.16967,1.16951,117
2020-09-29 09:51:00,1.16957,1.16936,1.16963,1.16936,114
2020-09-29 09:52:00,1.16937,1.16945,1.16947,1.16932,147
2020-09-29 09:53:00,1.16945,1.16966,1.16968,1.16937,143
2020-09-29 09:54:00,1.16967,1.16968,1.16977,1.16957,147
2020-09-29 09:55:00,1.16968,1.16947,1.16971,1.16941,130
2020-09-29 09:56:00,1.16947,1.1695,1.16957,1.16943,83
2020-09-29 09:57:00,1.1695,1.16951,1.16956,1.16941,110
2020-09-29 09:58:00,1.16951,1.16939,1.16953,1.16936,129
2020-09-29 09:59:00,1.16939,1.16937,1.16948,1.16935,107
2020-09-29 10:00:00,1.16937,1.16931,1.16943,1.16928,122
2020-09-29 10:01:00,1.16929,1.16904,1.16932,1.16904,224
2020-09-29 10:02:00,1.16903,1.16908,1.16919,1.16901,231
2020-09-29 10:03:00,1.16907,1.16915,1.16917,1.16899,106
2020-09-29 10:04:00,1.16915,1.16911,1.1693,1.16905,159
2020-09-29 10:05:00,1.16911,1.16899,1.16911,1.16896,159
2020-09-29 10:06:00,1.16899,1.16895,1.16905,1.16888,125
2020-09-29 10:07:00,1.16894,1.16891,1.16899,1.16889,60
2020-09-29 10:08:00,1.16891,1.16885,1.16891,1.16875,93
2020-09-29 10:09:00,1.16887,1.16876,1.16887,1.16873,131
2020-09-29 10:10:00,1.16876,1.16875,1.16887,1.16871,150
2020-09-29 10:11:00,1.16877,1.1689,1.16891,1.16877,73
2020-09-29 10:12:00,1.1689,1.16908,1.16912,1.1689,154
2020-09-29 10:13:00,1.16907,1.16911,1.16913,1.16903,120
2020-09-29 10:14:00,1.16911,1.16921,1.16921,1.16911,54
2020-09-29 10:15:00,1.16921,1.16913,1.16926,1.16901,137
2020-09-29 10:16:00,1.16914,1.16907,1.16915,1.16899,53
2020-09-29 10:17:00,1.16907,1.16915,1.16915,1.16901,97
2020-09-29 10:18:00,1.16915,1.16892,1.16919,1.16892,88
2020-09-29 10:19:00,1.16891,1.16905,1.16914,1.16869,237
2020-09-29 10:20:00,1.16903,1.1692,1.1692,1.16897,119
2020-09-29 10:21:00,1.16919,1.16905,1.16927,1.16905,89
2020-09-29 10:22:00,1.16905,1.16898,1.16916,1.16898,98
2020-09-29 10:23:00,1.16898,1.1691,1.1691,1.16891,154
2020-09-29 10:24:00,1.1691,1.16936,1.16939,1.16909,134
2020-09-29 10:25:00,1.16936,1.16921,1.16937,1.16917,111
2020-09-29 10:26:00,1.16921,1.16919,1.16923,1.16917,57
2020-09-29 10:27:00,1.16919,1.16923,1.16925,1.16914,61
2020-09-29 10:28:00,1.16923,1.16915,1.16926,1.16915,70
2020-09-29 10:29:00,1.16915,1.16916,1.16918,1.16915,40
2020-09-29 10:30:00,1.16916,1.16915,1.16919,1.16915,55
2020-09-29 10:31:00,1.16916,1.16899,1.16917,1.16897,79
2020-09-29 10:32:00,1.16899,1.16899,1.16903,1.16897,41
2020-09-29 10:33:00,1.16899,1.16895,1.16902,1.16895,45
2020-09-29 10:34:00,1.16893,1.16881,1.16895,1.16881,69
2020-09-29 10:35:00,1.16881,1.16861,1.16881,1.16855,107
2020-09-29 10:36:00,1.16861,1.16843,1.16861,1.16837,151
2020-09-29 10:37:00,1.16844,1.16839,1.16844,1.16833,95
2020-09-29 10:38:00,1.16839,1.16829,1.16839,1.16819,132
2020-09-29 10:39:00,1.16831,1.16835,1.16841,1.16825,142
2020-09-29 10:40:00,1.16835,1.16837,1.16841,1.16831,87
2020-09-29 10:41:00,1.16837,1.16847,1.16851,1.16837,81
2020-09-29 10:42:00,1.16846,1.16843,1.16849,1.16843,57
2020-09-29 10:43:00,1.16843,1.16836,1.16846,1.16826,91
2020-09-29 10:44:00,1.16837,1.16826,1.16837,1.16826,47
2020-09-29 10:45:00,1.16826,1.16819,1.16829,1.16817,64
2020-09-29 10:46:00,1.16818,1.16837,1.16839,1.16817,145
2020-09-29 10:47:00,1.16837,1.16841,1.1685,1.16836,81
2020-09-29 10:48:00,1.16841,1.16831,1.16841,1.16821,156
2020-09-29 10:49:00,1.16831,1.16842,1.16846,1.16831,87
2020-09-29 10:50:00,1.16842,1.16843,1.16849,1.16835,160
2020-09-29 10:51:00,1.16843,1.1685,1.16853,1.16841,149
2020-09-29 10:52:00,1.16851,1.16861,1.16861,1.16846,72
2020-09-29 10:53:00,1.1686,1.16859,1.16883,1.16858,163
2020-09-29 10:54:00,1.16858,1.16862,1.16863,1.16854,42
2020-09-29 10:55:00,1.16862,1.16853,1.16862,1.16844,94
2020-09-29 10:56:00,1.16853,1.16877,1.1688,1.16849,214
2020-09-29 10:57:00,1.16876,1.16878,1.16879,1.16867,178
2020-09-29 10:58:00,1.16878,1.16907,1.16911,1.16876,218
2020-09-29 10:59:00,1.16907,1.16933,1.16947,1.16903,305
2020-09-29 11:00:00,1.16935,1.16985,1.16986,1.16935,163
2020-09-29 11:01:00,1.16985,1.16985,1.16988,1.16957,240
2020-09-29 11:02:00,1.16986,1.17057,1.17066,1.16984,452
